packet,duration
124,0.854127
782,0.876332
413,0.887755
187,0.924223
851,0.89083
176,0.881488
133,4.821798
695,0.91483
148,0.878353
473,0.863112
572,0.880311
761,0.912288
143,0.894601
442,0.878362
789,0.917112
189,0.888954
717,0.916647
802,0.877679
383,0.88929
821,0.876514
661,0.878875
725,0.912088
296,0.920948
66,0.5493
300,0.891433
387,0.86608
426,0.914441
608,0.87924
175,0.890926
635,0.890696
68,0.528108
887,0.890943
450,0.878403
700,0.867281
682,0.889691
215,0.893114
943,0.880275
848,0.891156
500,0.877302
151,0.918492
637,0.887966
295,0.930235
134,0.875673
436,0.877599
951,0.87518
449,0.888
841,0.866362
547,0.926478
657,0.89221
502,0.902983
468,0.887253
856,0.888444
228,0.890456
362,0.86341
633,0.879504
954,0.875137
736,0.868407
415,0.917747
940,0.8777
131,0.890592
775,0.915485
606,0.915391
596,0.890973
416,0.891314
227,0.913291
626,0.8874
748,0.888786
390,0.914406
344,0.889039
490,0.91585
188,0.914693
751,0.889791
202,0.913205
780,0.879503
693,0.88966
367,0.926266
776,0.891448
584,0.91626
837,0.892043
193,0.880327
957,0.880898
621,0.889868
884,0.890589
382,0.911587
481,0.87804
33,0.641547
418,0.916197
487,0.914817
121,0.839963
955,0.914817
746,0.879476
727,0.878949
451,0.917147
545,0.869236
255,0.888984
948,0.878524
659,0.913314
286,0.906131
128,0.888905
3,0.958393
470,0.863198
925,0.887236
765,0.890871
981,-1.077437
757,0.877619
671,0.890808
137,0.878886
813,1.31086
524,0.890622
334,0.877901
918,0.879281
242,0.876986
445,0.876713
379,0.912541
619,0.879835
93,0.682686
932,0.877726
707,0.890348
200,0.889523
878,0.888159
536,0.878443
145,0.878301
549,0.889201
640,0.888334
455,0.891352
291,0.887398
309,0.880829
290,0.865386
412,0.907751
140,0.880743
578,0.86873
414,0.877315
674,0.876536
433,0.876804
598,0.914711
125,0.888454
618,0.889936
35,0.619875
949,0.869096
40,0.568509
850,0.917306
377,0.887795
883,0.912943
5,0.938902
349,0.889689
371,0.91538
960,0.8771
475,0.920928
408,0.8906
485,0.887686
701,0.888441
734,0.888378
660,0.891133
116,0.85064
394,0.905456
106,0.775626
82,0.617088
319,0.889837
370,0.88097
307,0.917161
798,0.889757
329,0.867062
703,0.912532
397,0.878392
720,0.887597
653,0.864121
479,0.916321
