packet,duration
124,0.874579
447,0.897659
51,0.423381
782,0.89599
413,0.863052
187,0.897352
851,0.911384
176,0.897382
133,0.861576
695,0.890846
148,0.898349
473,0.885982
572,0.896825
761,0.886222
143,0.902015
442,0.900863
789,0.888299
189,0.863526
717,0.88835
802,0.899405
383,0.910771
821,0.89708
661,0.900614
725,0.886386
296,0.886009
592,0.890538
66,0.5023
300,0.91359
387,0.887713
426,0.89056
582,0.862
608,0.898462
799,0.900574
175,0.860739
333,0.864061
12,0.712203
635,0.9111
23,0.635683
68,0.529814
887,0.910954
450,0.898076
700,0.88988
682,0.911263
663,0.896724
215,0.899653
839,0.862799
943,0.899791
848,0.863615
321,0.885449
500,0.897195
151,0.898367
58,0.444102
637,0.863147
295,0.89772
134,0.896745
436,0.899144
294,0.863589
951,0.898956
449,0.863253
841,0.900797
547,0.898405
657,0.910905
502,0.91114
468,0.862764
856,0.860804
228,0.910931
362,0.90176
633,0.898442
954,0.898263
736,0.886725
203,0.911303
415,0.889707
940,0.898155
131,0.910663
775,0.888471
606,0.889744
596,0.863992
416,0.865135
227,0.935962
626,0.863477
248,0.898886
748,0.863068
390,0.886747
25,0.612228
11,0.724144
344,0.903829
275,0.911158
305,0.86386
490,0.887851
54,0.43715
188,0.887697
751,0.863679
501,0.885437
202,0.886753
780,0.899614
693,0.911103
367,0.897428
776,0.863529
584,0.886137
16,0.667532
326,0.905659
398,0.905589
837,0.910883
193,0.90186
597,0.900035
621,0.910805
888,0.898255
884,0.861844
382,0.885351
481,0.899851
418,0.887998
487,0.889419
121,0.858582
955,0.887263
746,0.89622
727,0.897457
451,0.886398
545,0.888799
255,0.874683
528,0.898546
659,0.888586
303,0.896655
286,0.910999
128,0.909877
299,0.939078
470,0.887124
925,0.863698
401,0.886538
765,0.91091
757,0.897064
671,0.910774
137,0.89844
627,0.896679
56,0.467586
465,0.886862
524,0.861742
918,0.899952
297,0.864521
242,0.897725
223,0.898255
445,0.901477
619,0.897077
93,0.691101
932,0.897957
707,0.911178
200,0.906162
285,0.886262
878,0.874183
536,0.897259
549,0.910568
640,0.861942
455,0.911014
291,0.87922
309,0.899256
290,0.90519
412,0.887009
140,0.897186
578,0.888457
414,0.899801
114,0.794188
365,0.88906
13,0.700161
249,0.888144
674,0.898853
433,0.898392
304,0.887652
598,0.888174
125,0.863782
618,0.861816
949,0.903049
850,0.932351
377,0.860789
356,0.89903
883,0.885869
349,0.862457
371,0.932706
960,0.899248
601,0.863221
475,0.897978
408,0.911511
485,0.863897
516,0.911199
15,0.679011
292,0.89635
701,0.861852
734,0.861462
660,0.911248
116,0.819683
394,0.911016
106,0.788568
319,0.861362
62,0.498198
798,0.862421
329,0.889223
936,0.860536
703,0.888854
720,0.862941
653,0.885647
622,0.901707
479,0.890217
916,0.885974
274,0.889817
548,0.888908
843,0.896457
95,0.718155
474,0.863727
924,0.900918
260,0.886838
788,0.898283
877,0.900107
165,0.898324
441,0.86345
576,0.863223
353,0.900051
749,0.896828
230,0.860356
706,0.885968
630,0.898378
257,0.887317
24,0.624721
559,0.884158
99,0.72291
168,0.898589
913,0.899849
541,0.896394
65,0.514081
112,0.81409
870,0.861633
372,0.911552
881,0.86169
860,0.899346
911,0.860947
947,0.860636
369,0.863314
914,0.872707
287,0.902574
156,0.910894
891,0.884635
359,0.902586
546,0.863715
282,0.887754
57,0.455916
417,0.898594
642,0.887078
247,0.861334
317,0.899232
354,0.889383
411,0.896621
513,0.863848
198,0.896438
944,0.88815
904,0.899794
221,0.885774
594,0.898493
783,0.886594
139,0.861068
318,0.887557
631,0.889549
588,0.911202
251,0.898838
743,0.911339
346,0.888613
88,0.651349
920,0.86086
879,0.896912
553,0.901323
958,0.933182
328,0.898942
557,0.861431
607,0.863917
711,0.884957
261,0.863831
898,0.911065
311,0.910751
577,0.897245
497,0.896649
561,0.897244
772,0.884869
312,0.899264
726,0.864192
302,0.863192
724,0.897112
562,0.885375
184,0.899388
697,0.901488
63,0.488166
90,0.675346
907,0.899492
854,0.898862
744,0.899739
846,0.898685
404,0.885578
288,0.862503
268,0.887408
50,0.429363
538,0.910743
550,0.898975
59,0.482678
192,0.911216
755,0.89868
115,0.830017
532,0.863214
648,0.861667
195,0.896955
620,0.88617
337,0.901651
185,0.888354
708,0.901983
496,0.861818
710,0.896239
488,0.864053
833,0.887949
785,0.897889
645,0.885424
440,0.886056
396,0.862859
75,0.563668
105,0.751799
787,0.90797
826,0.910999
896,0.900013
402,0.862098
519,0.896736
699,0.898515
935,0.898647
712,0.863579
211,0.862284
483,0.896881
428,0.897848
817,0.861721
410,0.863569
171,0.885718
395,0.899655
753,0.886872
658,0.900479
157,0.898519
735,0.898807
829,0.896149
360,0.862845
81,0.581921
922,0.92918
667,0.889874
889,0.861153
531,0.888872
443,0.888748
522,0.898274
477,0.864294
718,0.910848
781,0.861755
871,0.897123
222,0.861793
273,0.899997
543,0.863458
714,0.886813
238,0.887002
258,0.863618
602,0.897541
825,0.886066
169,0.861691
22,0.645186
931,0.90986
461,0.897579
201,0.897842
276,0.901238
886,0.931718
629,0.863156
941,0.889219
486,0.899779
332,0.88758
530,0.897563
525,0.898172
400,0.899142
593,0.863875
389,0.897796
579,0.862684
690,0.863561
615,0.861436
564,0.902307
393,0.887085
902,0.885409
636,0.899856
85,0.63679
152,0.889124
933,0.885865
123,0.884775
277,0.86323
927,0.886536
864,0.863512
216,0.862965
859,0.903809
650,0.887012
838,0.902138
880,0.884349
21,0.657128
515,0.888873
739,0.888192
571,0.863389
250,0.910559
71,0.546142
566,0.897613
129,0.898017
374,0.862811
430,0.910786
616,0.899593
505,0.89789
603,0.887538
705,0.898214
827,0.901635
808,0.887284
647,0.900985
589,0.90055
554,0.861326
464,0.89871
434,0.886571
194,0.863243
945,0.910959
915,0.896768
595,0.886568
191,0.928362
604,0.863586
796,0.898368
809,0.863365
405,0.86231
779,0.910858
207,0.88594
692,0.885881
868,0.899539
855,0.88589
469,0.896302
791,0.899042
565,0.864188
919,0.887241
872,0.886274
357,0.887315
510,0.86338
678,0.88705
928,0.863316
685,0.898476
363,0.877426
130,0.886529
899,0.901772
259,0.898551
170,0.896421
816,0.900734
494,0.8968
159,0.89709
